@relation activity_recognition_labeled

@attribute "X8" numeric
@attribute "Z3" numeric
@attribute "ZAVG" numeric
@attribute "XPEAK" numeric
@attribute "ZPEAK" numeric
@attribute "YSTANDDEV" numeric
@attribute class{ "Sitting" , "Active" }

@data
0.07,0.06,-0.15,2016.67,857.14,3.44,?
0.11,0.11,-0.29,3200,1280,3.38,?
0.1,0.12,-0.09,1112.5,2116.67,3.26,?
0.12,0.14,-0.22,1616.67,1525,3.38,?
0.1,0.13,-0.21,2833.33,2250,3.27,?
0.13,0.11,-0.21,1156.25,1000,3.4,?
0.12,0.13,-0.11,805.56,1285.71,3.3,?
0.05,0.08,-0.02,1683.33,2250,3.16,?
0.13,0.09,-0.13,2337.5,1500,3.22,?
0.11,0.1,-0.12,1290,2725,3.37,?
0.11,0.14,-0.18,3450,1090,3.46,?
0.1,0.05,0.13,2266.67,1333.33,3.32,?
0.04,0.17,-0.17,475,600,6.73,?
0.08,0.11,0.04,500,1250,8.11,?
0.07,0.11,-0.02,3875,912.5,8.14,?
0.09,0.06,-0.35,4600,2400,8.24,?
0.07,0.08,-0.18,1583.33,2683.33,7.57,?
0.1,0.11,0.3,1430,1575,8.1,?
0.09,0.1,0.19,300,1537.5,8.4,?
0.1,0.09,-0.19,1125,1975,7.68,?
0.13,0.09,0.29,2700,2100,7.77,?
0.12,0.11,0.43,4850,1675,7.88,?
0.14,0.09,0.53,608.33,3375,7.56,?
0.11,0.12,0.15,1491.67,2750,7.53,?
0.15,0.1,0.43,1150,2600,7.86,?
0.13,0.06,0.28,1142.86,4175,7.43,?
0.03,0.05,0.12,537.5,1425,7.62,?
0.16,0.13,-1.06,1116.67,2933.33,3.94,?
0.17,0.13,-0.76,1433.33,2500,4.14,?
0.11,0.12,-1.03,3875,2583.33,3.73,?
0.11,0.11,-0.92,1800,3600,3.91,?
0.13,0.11,-1.28,1300,1900,4.03,?
0.2,0.06,-1,1600,2133.33,3.94,?
0.12,0.1,-1.02,1816.67,1650,3.82,?
0.14,0.14,-0.74,1358.33,1787.5,3.82,?
0.17,0.11,-1.02,1312.5,3200,3.73,?
0.07,0.05,0.31,3300,2200,4.53,?
0.07,0.13,0.14,4375,2566.67,4.2,?
0.07,0.11,0.27,1100,1100,4.51,?
0.09,0.09,0.36,1520,1300,4.47,?
0.1,0.13,0.14,3275,2566.67,4.43,?
0.1,0.14,0.17,1912.5,1740,4.36,?
0.08,0.08,0.2,2212.5,1675,4.17,?
0.09,0.11,0.32,2583.33,3875,4.17,?
0.07,0.11,0.29,3350,1308.33,4.13,?
0.12,0.07,0.57,2500,1600,4.16,?
0.07,0.12,0.28,1675,2800,3.86,?
0.1,0.12,0.41,2933.33,2216.67,4.13,?
0.07,0.11,0.29,2200,2187.5,4.35,?
0.08,0.11,0.32,4325,1441.67,4.25,?
0.08,0.12,0.22,1675,1700,4.14,?
0.09,0.1,0.27,1337.5,1730,4.29,?
0.08,0.07,0.14,1866.67,1866.67,4.03,?
0.09,0.11,0.25,2212.5,2250,4.43,?
0.08,0.11,0.18,2616.67,2233.33,4.29,?
0.08,0.09,0.21,2966.67,4450,4.16,?
0.08,0.07,0.18,1112.5,2600,4.06,?
0.08,0.12,0.34,1570,1491.67,4.4,?
0.09,0.1,0.32,1570,1800,4.29,?
0.05,0.06,0.24,1083.33,1650,6.11,?
0.17,0.12,0.52,700,3800,8.14,?
0.06,0.14,-0.29,473.53,2925,8.51,?
0.05,0.05,0.03,603.33,1220,8.7,?
0.12,0.11,0.3,561.76,1483.33,8.84,?
0.09,0.12,-0.19,571.88,600,8.9,?
0.09,0.13,-0.4,465.79,2466.67,8.74,?
0.11,0.11,-0.07,452.38,2433.33,8.99,?
0.09,0.09,0.59,753.85,3725,9.5,?
0.09,0.1,-0.56,575,2850,9.14,?
0.11,0.1,-0.22,471.05,866.67,8.81,?
0.09,0.1,-1.4,544.12,3075,8.79,?
0.1,0.08,-0.6,397.83,3400,8.78,?
0.09,0.11,0.17,763.64,1625,8.76,?
0.14,0.12,0,535.29,1800,8.43,?
0.12,0.11,-0.39,407.14,2983.33,8.85,?
0.14,0.09,-0.47,544.12,1625,8.62,?
0.1,0.07,0.29,556.25,3175,8.56,?
0.14,0.07,-0.57,477.5,2100,9.06,?
0.09,0.11,-0.57,616.67,1750,8.55,?
0.13,0.11,-0.13,550,4125,8.15,?
0.09,0.09,-0.74,680.77,1850,8.45,?
0.09,0.11,-0.03,540.63,675,8.08,?
0.11,0.09,-0.06,684.62,3650,8.26,?
0.1,0.1,-0.38,596.88,2816.67,8.02,?
0.06,0.12,-0.51,558.82,950,8.41,?
0.06,0.12,-0.08,587.5,1583.33,9.13,?
0.1,0.07,1.14,2916.67,2233.33,4.77,?
0.13,0.14,0.94,2550,1625,4.6,?
0.12,0.16,0.97,2162.5,2162.5,4.9,?
0.15,0.08,0.99,1650,1242.86,4.92,?
0.13,0.12,1.09,3875,2212.5,4.86,?
0.1,0.11,1.16,1083.33,2583.33,4.86,?
0.1,0.12,1.03,1766.67,3200,4.7,?
0.12,0.14,0.97,2800,1675,4.66,?
0.09,0.09,0.95,2883.33,1637.5,4.99,?
0.09,0.12,0.76,1100,2900,4.59,?
0.12,0.13,0.38,1816.67,1510,4.35,?
0.08,0.12,-0.18,1675,1100,3.64,?
0.1,0.1,-1.24,1450,2750,4.4,?
0.07,0.04,-1.02,3150,2112.5,4.5,?
0.09,0.09,0.04,3325,2225,4.98,?
0.12,0.09,0.42,1650,1637.5,4.33,?
0.1,0.08,-0.91,3975,4500,4.13,?
0.07,0.1,0.34,2900,2175,4.89,?
0.07,0.12,0.99,3200,2866.67,4.97,?
0.12,0.1,0.92,3325,1770,4.75,?
0.1,0.1,0.9,2325,2516.67,4.95,?
0.09,0.1,1.1,2750,1875,5.08,?
0.12,0.11,0.99,4375,1816.67,4.62,?
0.09,0.07,0.89,1600,1225,5.34,?
0.12,0.11,0.92,1737.5,1850,5.16,?
0.11,0.09,1.02,1912.5,2900,5.07,?
0.1,0.11,0.97,2516.67,3775,4.99,?
0.1,0.11,1.14,1800,1235.71,4.91,?
0.13,0.12,1.06,1650,4375,4.87,?
0.1,0.09,1.06,1466.67,1833.33,4.68,?
0.08,0.08,1.01,2166.67,2533.33,4.68,?
0.06,0.1,1.16,2200,1625,4.95,?
0.1,0.07,0.06,667.86,1787.5,8.68,?
0.07,0.11,-0.22,678.57,1783.33,8.7,?
0.1,0.14,0.34,584.38,3350,8.61,?
0.16,0.1,-0.4,633.33,1916.67,8.71,?
0.1,0.14,-0.17,590.63,1625,8.63,?
0.09,0.08,0.3,661.54,3250,8.54,?
0.1,0.07,0.89,537.5,2333.33,8.42,?
0.19,0.13,-0.64,639.29,2233.33,8.83,?
0.11,0.09,-1.46,561.76,2700,8.9,?
0.08,0.09,0.08,566.67,950,8.7,?
0.12,0.1,-0.52,653.33,2850,8.57,?
0.08,0.07,-0.5,536.11,2500,8.73,?
0.08,0.12,-0.9,480,2400,8.38,?
0.1,0.12,0.48,465.79,2100,8.54,?
0.08,0.1,-0.49,844.44,1283.33,8.33,?
0.12,0.12,-0.23,630,3475,8.85,?
0.12,0.1,-0.6,438.1,1325,8.13,?
0.11,0.07,-0.73,678.57,1733.33,8.53,?
0.09,0.09,-0.21,623.33,3450,8.84,?
0.03,0.13,-0.35,1027.78,3066.67,8.61,?
0.08,0.13,0.09,596.43,4175,8.64,?
0.09,0.11,-0.55,428.57,3925,8.59,?
0.14,0.13,0.85,488.24,1100,8.48,?
0.14,0.13,0.09,606.67,1300,8.74,?
0.1,0.1,0.39,711.54,3875,8.75,?
0.09,0.11,-0.16,522.22,1500,8.41,?
0.11,0.08,-0.3,615.38,1475,8.95,?
0.03,0.01,-0.21,1500,675,10.03,?
0.15,0.14,2.69,2150,1975,3.84,?
0.12,0.12,2.66,875,1866.67,3.85,?
0.11,0.1,2.39,2000,2675,3.78,?
0.11,0.11,2.5,1825,3200,4.08,?
0.05,0.11,2.93,1733.33,2600,3.64,?
0.05,0.03,2.11,2300,1180,4.62,?
0.1,0.1,0.86,3675,1156.25,3.47,?
0.1,0.1,0.97,1580,2450,3.71,?
0.08,0.09,0.76,1558.33,2533.33,3.66,?
0.1,0.12,0.71,1116.67,4100,3.71,?
0.13,0.11,0.68,1075,2166.67,3.9,?
0.07,0.03,0.73,683.33,2625,5.58,?
0.16,0.1,2.71,3725,2466.67,3.78,?
0.09,0.12,2.23,1900,1175,3.91,?
0.1,0.05,2.59,1975,1300,3.67,?
0.11,0.1,2.67,2683.33,2750,3.65,?
0.1,0.1,2.65,1550,1766.67,3.82,?
0.07,0.1,2.26,3825,3800,4.14,?
0.02,0.03,0.5,625,383.33,7.88,?
0.17,0.11,2.57,3175,1225,3.97,?
0.15,0.12,2.44,1800,1250,4.09,?
0.1,0.11,2.69,2150,2000,4.19,?
0.09,0.09,2.78,625,1093.75,4.35,?
0.05,0.08,2.57,3900,1162.5,4.57,?
0.05,0.08,2.35,1083.33,1625,4.51,?
0.05,0.12,2.8,1733.33,4175,4.14,?
0.1,0.11,2.54,1925,1200,3.94,?
0.07,0.11,2.74,1587.5,1225,3.89,?
0.15,0.11,2.97,3350,3275,3.72,?
0.16,0.09,2.84,3825,1537.5,3.85,?
0.08,0.06,2.56,1383.33,3050,4.18,?
0.14,0.12,2.99,937.5,1650,4.09,?
0.08,0.07,3.29,1675,1600,4.37,?
0.08,0.09,2.77,2250,2583.33,3.99,?
0.13,0.1,2.93,2383.33,3925,4.11,?
0.08,0.11,2.55,1650,2200,4.06,?
0.1,0.12,2.75,1675,1662.5,3.81,?
0,0,0.01,?,?,6.01,?
0.13,0.07,2.8,3325,2650,3.6,?
0.09,0.1,2.79,1200,2525,3.84,?
0.11,0.09,2.88,1300,2733.33,4.02,?
0.09,0.11,2.79,1950,3650,3.86,?
0.14,0.12,2.66,2866.67,4300,3.92,?
0.09,0.1,2.31,2850,2275,4.44,?
0.12,0.1,2.98,990,2300,4.11,?
0.09,0.1,2.94,887.5,1325,4.37,?
0.07,0.1,2.88,1600,1675,4.24,?
0.09,0.12,2.78,2833.33,2075,4.3,?
0.12,0.11,3,2325,880,4.6,?
0.08,0.05,2.01,1233.33,625,5.77,?
0.13,0.11,2.56,1950,2750,3.55,?
0.15,0.15,2.52,2625,2125,3.47,?
0.16,0.11,2.66,1937.5,3500,3.28,?
0.17,0.12,2.76,1300,2387.5,3.16,?
0.13,0.07,2.73,3525,2075,3.28,?
0.11,0.1,2.66,1766.67,2033.33,3.36,?
0.08,0.13,2.72,2475,1316.67,3.57,?
0.07,0.08,2.83,875,2200,3.26,?
0.07,0.11,2.68,2350,2000,3.72,?
0.07,0.11,2.73,1883.33,2625,3.65,?
0.05,0.11,2.76,1066.67,1050,3.4,?
0.01,0.03,1.53,1250,950,5.35,?
0.16,0.12,1.77,1987.5,2375,4.36,?
0.14,0.12,2.03,2766.67,2950,4.32,?
0.14,0.15,1.96,1650,1462.5,3.97,?
0.14,0.15,1.8,1916.67,950,3.89,?
0.13,0.16,1.97,450,1675,4.21,?
0.06,0.11,1.83,2283.33,2766.67,4.15,?
0.08,0.08,1.81,2950,1750,3.82,?
0.05,0.11,2.03,3400,2583.33,4.07,?
0.09,0.12,1.94,2500,1483.33,3.99,?
0.06,0.06,1.9,3425,2925,3.92,?
0.07,0.1,1.79,3350,1250,4.15,?
0.07,0.13,1.98,2225,1000,4.14,?
0.06,0.07,2.02,2450,1760,4.18,?
0.05,0.09,1.94,2425,925,4.24,?
0.09,0.1,1.87,1875,1720,4.23,?
0.05,0.09,2.03,2150,3850,3.97,?
0.05,0.09,2.02,4400,1466.67,3.99,?
0.06,0.07,1.99,3475,2250,3.99,?
0.05,0.08,2.04,3233.33,3400,3.98,?
0.08,0.08,1.94,3400,1540,4.13,?
0.07,0.1,1.87,3350,1600,4.01,?
0.06,0.13,2,1700,1560,4.14,?
0.06,0.06,1.84,1933.33,1550,4.27,?
0.06,0.11,1.97,3875,1475,4.12,?
0.04,0.1,1.91,2425,1250,4.09,?
0.06,0.1,2.04,2925,1550,4.08,?
0.06,0.08,1.85,1900,1966.67,4.12,?
0.04,0.08,1.76,1925,1916.67,4.52,?
0.06,0.09,1.84,2000,2000,4.35,?
0.06,0.08,1.92,2150,1180,3.93,?
0.07,0.08,1.77,2875,2566.67,4,?
0.05,0.07,1.92,2400,2850,4.24,?
0.09,0.1,1.8,2450,2200,4.55,?
0.06,0.1,1.85,2450,2266.67,4.28,?
0.08,0.07,1.92,1612.5,1966.67,3.89,?
0.06,0.11,1.9,3025,2633.33,3.74,?
0.05,0.08,1.88,1600,1450,3.71,?
0.1,0.13,1.64,1450,1450,3.7,?
0.16,0.1,1.43,1562.5,1475,3.96,?
0.22,0.14,1.59,1475,1580,4.03,?
0.25,0.14,1.45,1675,3850,4.21,?
0.18,0.13,1.32,1566.67,1933.33,4.38,?
0.19,0.12,1.48,975,1900,4.22,?
0.15,0.08,1.33,2766.67,2216.67,4.27,?
0.15,0.11,1.41,1520,2162.5,4.53,?
0.19,0.1,1.44,883.33,1500,4.25,?
0.12,0.07,1.47,2375,2137.5,4.26,?
0.13,0.13,1.39,1530,1720,4.39,?
0.12,0.1,1.49,840,975,4.49,?
0.14,0.12,1.42,1475,1950,4.15,?
0.16,0.11,1.83,1687.5,2925,4.47,?
0.14,0.12,1.51,950,2866.67,4.34,?
0.12,0.15,1.52,3066.67,2550,4.51,?
0.11,0.12,1.39,2450,2933.33,4.25,?
0.17,0.11,1.47,1500,3375,4.15,?
0.18,0.11,1.56,1816.67,2933.33,4.02,?
0.08,0.14,1.61,2575,3425,4.12,?
0.15,0.15,1.63,975,2016.67,4.32,?
0.1,0.1,1.74,1750,2016.67,3.95,?
0.12,0.1,1.53,2475,1962.5,4.19,?
0.13,0.1,1.37,2800,3800,4.46,?
0.12,0.09,1.49,2550,2233.33,5.02,?
0.12,0.07,1.35,1925,2233.33,4.92,?
0.09,0.09,1.38,2533.33,4725,4.6,?
0.06,0.1,1.5,3125,3350,4.41,?
0.08,0.09,1.52,1210,1925,4.22,?
0.1,0.09,1.53,1450,1925,4.59,?
0.07,0.12,1.44,650,1475,4.21,?
0.09,0.08,-1.29,1400,3700,4.29,?
0.09,0.06,-1.45,2350,3525,4.28,?
0.08,0.11,-1.14,1550,1383.33,4.24,?
0.09,0.13,-1.08,2650,2833.33,4.29,?
0.07,0.08,-1.08,3725,2483.33,3.98,?
0.13,0.11,-1.26,2500,3225,4.11,?
0.08,0.14,-1.11,2400,3600,4.16,?
0.11,0.1,-1.11,2600,3575,4.37,?
0.09,0.18,-0.92,2200,1325,3.98,?
0.1,0.11,-0.74,2050,2575,4.43,?
0.11,0.13,-0.79,1400,2800,4.17,?
0.12,0.07,-1.17,2483.33,2137.5,4.33,?
0.11,0.1,-0.88,2133.33,2133.33,4.17,?
0.11,0.04,-0.86,1525,3125,4.19,?
0.12,0.1,-0.96,2433.33,2433.33,4.03,?
0.11,0.14,-0.98,1525,1783.33,4.14,?
0.11,0.12,-1.14,1637.5,2725,4,?
0.07,0.1,-1.03,1433.33,2516.67,3.94,?
0.12,0.09,-0.94,880,1625,4.15,?
0.12,0.11,-0.97,2133.33,3200,3.93,?
0.12,0.15,-0.94,1220,2725,4.15,?
0.11,0.11,-0.78,1083.33,1375,3.77,?
0.08,0.11,-0.99,1816.67,2433.33,3.91,?
0.11,0.09,-0.77,1055.56,3225,4.17,?
0.13,0.15,-0.81,2383.33,3575,3.91,?
0.12,0.1,-0.76,2866.67,2150,4.01,?
0.1,0.12,-0.86,1083.33,1625,3.88,?
0.1,0.11,-0.89,2166.67,3250,4.12,?
0.12,0.12,-0.71,1400,2216.67,3.7,?
0.09,0.11,-0.52,1850,2237.5,3.73,?
0,0,0,?,?,9.91,?
0.12,0.06,-2.69,384,2550,8.78,?
0.16,0.1,-2.21,715.38,875,8.87,?
0.1,0.12,-1.25,505.56,3150,8.69,?
0.14,0.08,-1.94,469.44,3325,8.88,?
0.1,0.1,-1.04,700,2300,8.94,?
0.13,0.12,-1.64,720,1800,9.1,?
0.1,0.1,-1.02,815,1387.5,8.44,?
0.13,0.08,-1.35,561.76,3900,8.65,?
0.06,0.07,-1.64,514.71,2866.67,8.88,?
0.1,0.14,-1.57,606.67,1200,8.72,?
0.09,0.11,-0.97,1250,3016.67,8.45,?
0.09,0.12,-0.48,827.27,2933.33,8.36,?
0.13,0.07,-0.96,920,1533.33,8.7,?
0.09,0.08,-1.28,740.91,1850,8.55,?
0.07,0.06,-1.08,616.67,3050,8.56,?
0.12,0.18,-1.26,662.5,3525,8.61,?
0.08,0.18,-0.63,667.86,1433.33,8.61,?
0.12,0.09,-1.13,791.67,800,8.61,?
0.09,0.05,-1.37,775,3500,8.51,?
0.17,0.08,-0.46,875,2125,8.38,?
0.12,0.14,-0.73,1307.14,900,8.81,?
0.08,0.11,-0.11,1420,3950,8.24,?
0.06,0.14,-0.35,745.83,1500,8.02,?
0.05,0.11,-0.1,1157.14,1966.67,8.82,?
0.1,0.11,-0.73,931.25,2150,8.12,?
0.06,0.05,-0.61,905,3650,8.31,?
0.08,0.08,-0.85,905,2650,8.27,?
0.05,0.04,-0.23,1112.5,750,7.76,?
0.09,0.08,-0.84,1525,4150,4.73,?
0.1,0.08,-0.59,2600,2600,4.5,?
0.09,0.09,-0.72,2766.67,2550,4.49,?
0.1,0.12,-0.87,2337.5,2600,4.64,?
0.1,0.1,-0.86,3700,2125,4.47,?
0.07,0.07,-0.78,2650,1600,4.36,?
0.08,0.07,-0.74,3575,2600,4.4,?
0.15,0.11,-0.88,3125,1050,4.61,?
0.1,0.14,-0.76,4800,3200,4.06,?
0.12,0.14,-0.74,2150,3225,4.16,?
0.13,0.09,-0.73,4225,3175,4.38,?
0.11,0.1,-0.7,2100,1766.67,4.09,?
0.09,0.09,-0.76,1925,1850,3.66,?
0.11,0.09,-0.77,1800,2700,4.05,?
0.12,0.09,-0.75,2125,1416.67,4.18,?
0.11,0.06,-0.81,2516.67,2516.67,4.06,?
0.08,0.14,-0.77,2225,2225,3.97,?
0.1,0.09,-0.84,1525,2200,4.35,?
0.12,0.11,-0.83,1520,2166.67,4.17,?
0.1,0.09,-0.71,2116.67,1625,4.03,?
0.1,0.11,-0.62,1833.33,2200,4,?
0.1,0.1,-0.71,3750,2500,4.13,?
0.1,0.08,-0.74,1625,2166.67,4.13,?
0.13,0.07,-0.7,1887.5,3775,3.98,?
0.09,0.11,-0.69,1650,1850,4.28,?
0.13,0.11,-0.73,3900,2075,4.1,?
0.09,0.12,-0.61,1490,2483.33,4.02,?
0.08,0.1,-0.72,1900,2175,3.94,?
0.1,0.13,-0.67,2225,2225,3.61,?
0.1,0.09,-0.65,2850,3425,3.38,?
0.07,0.1,-0.72,2500,3400,3.39,?
0.1,0.09,-0.84,685,2650,7.98,?
0.15,0.08,-1.8,691.67,2450,8.81,?
0.15,0.1,-1.42,480,1950,8.88,?
0.09,0.07,-1.26,750,1837.5,8.74,?
0.1,0.13,-1.42,805,2025,9,?
0.09,0.11,-0.56,639.29,4350,8.92,?
0.12,0.08,-0.78,676.92,1175,8.68,?
0.05,0.12,-0.28,1250,4225,8.33,?
0.11,0.11,-1.02,870,2300,8.37,?
0.06,0.11,-0.39,1910,1500,8.47,?
0.12,0.11,-1.04,875,3975,8.56,?
0.08,0.15,-0.9,827.27,4200,8.33,?
0.12,0.09,-0.15,775,1366.67,8.29,?
0.1,0.12,-0.83,679.17,1600,8.69,?
0.11,0.1,-0.5,1050,2650,8.63,?
0.05,0.1,-0.65,512.5,2975,8.67,?
0.12,0.08,-1.3,736.36,2775,8.55,?
0.13,0.09,-0.84,925,2875,8.36,?
0.06,0.14,-0.93,1200,3825,7.95,?
0.13,0.08,-0.24,1121.43,1950,8.49,?
0.06,0.12,-0.42,835,3975,8.64,?
0.1,0.13,-1.21,1341.67,2650,8.44,?
0.11,0.08,-0.49,1483.33,1737.5,8.39,?
0.15,0.07,-0.59,1114.29,2100,7.92,?
0.11,0.1,-0.79,1088.89,1975,8.25,?
0.11,0.06,-0.23,1228.57,2275,8.63,?
0.09,0.14,-0.46,2450,3625,7.98,?
0.1,0.14,-0.35,1107.14,950,8.53,?
0.08,0.11,-0.26,2700,2166.67,8.38,?
0,0.01,-0.04,?,?,11.33,?
0.14,0.08,0.34,4125,3975,3.39,?
0.11,0.09,0.03,2800,1825,3.38,?
0.09,0.09,-0.43,3550,850,3.28,?
0.11,0.08,-0.27,3775,1320,3.31,?
0.08,0.12,-0.32,2525,1625,3.3,?
0.07,0.08,-0.35,2275,1675,3.42,?
0.08,0.09,0.81,2700,1750,3.13,?
0.11,0.07,0.29,862.5,825,3.39,?
0.08,0.09,0.09,2783.33,1850,3.25,?
0.13,0.13,0.37,1887.5,3100,3.14,?
0.09,0.13,0.45,583.33,2600,3.58,?
0.02,0.01,0.06,?,350,7.44,?
0.11,0.08,-0.13,3125,925,3.21,?
0.08,0.11,-0.32,1800,3225,3.14,?
0.11,0.09,-0.41,3350,1830,3.48,?
0.1,0.12,-0.34,1112.5,1333.33,3.49,?
0.13,0.08,-0.25,2100,2000,3.29,?
0.05,0.07,0.05,1050,1950,4.7,?
0.11,0.09,0.49,2500,975,3.73,?
0.08,0.11,0.57,1500,1500,3.25,?
0.12,0.1,0.32,3600,4200,3.25,?
0.1,0.07,0.47,1616.67,3200,3.66,?
0.09,0.1,0.51,3250,2050,3.83,?
0.08,0.09,-0.69,1375,2383.33,3.36,?
0.12,0.1,-0.55,2450,2425,3.13,?
0.11,0.12,-0.5,2525,1575,2.96,?
0.08,0.12,-0.28,4200,1250,3.2,?
0.13,0.12,-0.26,2666.67,1370,2.57,?
0.06,0.06,-0.36,2200,1775,3.19,?
0.11,0.07,0.68,4450,2350,3.6,?
0.1,0.15,0.17,1850,2337.5,3.07,?
0.12,0.12,0.16,1512.5,1700,3.48,?
0.07,0.09,0.1,4450,3800,3.25,?
0.11,0.12,0.13,2175,325,3.41,?
0.04,0.02,-0.16,475,333.33,7.43,?
0.1,0.12,0.24,1525,4075,3.26,?
0.09,0.12,-0.37,2750,1900,3.05,?
0.12,0.08,-0.22,3875,1340,3.09,?
0.12,0.09,-0.36,3275,3900,2.94,?
0.12,0.1,-0.38,3033.33,2875,2.89,?
0.08,0.11,-0.32,2875,1566.67,3.26,?
0,0,0.2,350,450,8.88,?
0.09,0.15,0.98,1875,2525,3.38,?
0.11,0.11,0.42,1516.67,3200,3.45,?
0.1,0.09,0.32,2200,4775,3.35,?
0.11,0.12,0.75,2950,2200,3.66,?
0.1,0.06,0.61,2000,2533.33,3.61,?
0.07,0.08,0.53,1725,750,4.64,?
0.11,0.1,0.32,1766.67,1575,4.4,?
0.06,0.13,0.35,3175,1587.5,4.5,?
0.09,0.14,0.38,1650,1912.5,4.47,?
0.1,0.12,0.62,3825,1050,4.29,?
0.13,0.09,0.18,1766.67,2100,4.73,?
0.11,0.1,0.18,3675,3166.67,4.83,?
0.1,0.11,0.23,3150,2100,4.79,?
0.11,0.1,0.24,3200,3200,5.09,?
0.07,0.13,0.48,2100,2133.33,4.78,?
0.13,0.1,0.42,2833.33,2625,4.52,?
0.11,0.1,0.27,2116.67,3725,4.99,?
0.1,0.08,0.13,2366.67,1033.33,5.07,?
0.07,0.13,0.43,3225,2150,4.69,?
0.11,0.1,0.37,2083.33,1825,4.79,?
0.12,0.09,0.45,1783.33,1800,4.67,?
0.08,0.11,0.28,2675,1575,4.63,?
0.13,0.08,0.33,4550,1450,5.01,?
0.15,0.11,0.3,3725,1600,4.82,?
0.13,0.12,0.25,3725,2816.67,4.81,?
0.12,0.1,0.42,3700,1750,4.98,?
0.16,0.09,0.32,3750,1783.33,4.84,?
0.12,0.08,0.38,3750,2850,4.77,?
0.08,0.1,0.7,1650,1862.5,4.88,?
0.08,0.12,0.65,1900,2883.33,4.58,?
0.08,0.08,0.49,2750,2750,4.67,?
0.07,0.07,0.55,2150,2725,4.69,?
0.08,0.11,0.69,2650,1612.5,4.66,?
0.08,0.09,0.61,3800,2150,4.79,?
0.11,0.1,0.71,2725,2175,4.77,?
0.1,0.13,0.58,1450,1637.5,4.64,?
0.08,0.12,0.55,2150,1800,4.57,?
0.04,0.04,0.36,1175,1125,7.52,?
0.09,0.11,0.84,2466.67,1983.33,8.61,?
0.1,0.14,0.57,1812.5,3000,8.85,?
0.11,0.09,0.32,2525,2300,8.88,?
0.08,0.13,0.52,2000,1975,9.01,?
0.11,0.08,0.57,2950,2933.33,9.24,?
0.1,0.1,0.62,2366.67,1500,9.33,?
0.07,0.13,0.41,2416.67,2100,9.08,?
0.1,0.12,0.88,1383.33,2283.33,9.01,?
0.1,0.05,1.03,1512.5,900,8.66,?
0.07,0.1,1.19,2400,1275,8.82,?
0.08,0.05,0.95,1391.67,1425,9.13,?
0.1,0.06,1.66,3050,1307.14,9.34,?
0.19,0.1,1.48,1416.67,3425,8.89,?
0.09,0.1,1.54,1325,3700,9.12,?
0.11,0.11,0.64,1850,1675,9.38,?
0.09,0.09,0.39,2250,1883.33,9.2,?
